citing_opinion_id,citation,antecedent_name,candidate_oids
16733,874 N.W.2d 910,,16652|16653
16680,704 N.W.2d 573,"Court.
Eagleman v. State",14341|14172
16353,744 N.W.2d 724,In re P.F.,14899|14900
15967,506 N.W.2d 368,B.H. v. K.D.,11481|11482
15871,758 N.W.2d 909,,15112|18671
15688,725 N.W.2d 588,Silbernagel v. Silbernagel,18560|14678
15864,744 N.W.2d 724,In re P.F.,14899|14900
15256,744 N.W.2d 724,In re P.F.,14899|14900
15054,744 N.W.2d 724,In re P.F.,14899|14900
14485,248 N.W. 268,,4393|4394
13564,87 N.W. 593,,5837|5838
13133,506 N.W.2d 368,B.H. v. K.D.,11481|11482
12460,506 N.W.2d 368,B.H. v. K.D.,11481|11482
