oid,citation,case_name,date_filed,sim,p_words,s_words,sec_path
2711,190 N.W. 176,Grewer v. Schafer,1922-10-10,0.5335,888,800,NW/190/176.md
1680,160 N.W. 855,Semerad v. Dunn County,1916-12-21,0.5421,3044,1923,NW/160/855.md
1144,145 N.W. 582,Malin v. County of Lamoure,1914-02-14,0.5465,5163,2884,NW/145/582.md
1312,151 N.W. 289,North Star Lumber Co. v. Rosenquist,1915-02-18,0.5629,1947,1653,NW/151/289.md
1305,151 N.W. 219,Truman v. Dakota Trust Co.,1915-02-08,0.5927,4372,2918,NW/151/219.md
2402,179 N.W. 372,Jessen v. Schiller,1920-09-25,0.5935,953,818,NW/179/372.md
2736,190 N.W. 817,State v. Kelsey,1922-10-30,0.6009,1017,845,NW/190/817.md
2081,171 N.W. 628,Aandahl v. Great Northern Railway Co.,1919-01-11,0.6045,3450,2772,NW/171/628.md
1772,163 N.W. 538,Philbrick v. McDonald,1917-05-08,0.6056,915,873,NW/163/538.md
952,137 N.W. 486,Paulson v. County,1912-07-24,0.6104,1981,1832,NW/137/486.md
4999,294 N.W. 660,First National Bank & Trust Co. v. Krogh,1940-11-07,0.6168,2165,1939,NW/294/660.md
769,131 N.W. 256,Patterson & Stevenson Co. v. Nurnberg,1911-04-13,0.6201,200,191,NW/131/256.md
3178,204 N.W. 848,Felch v. Olsness,1925-07-15,0.6209,912,825,NW/204/848.md
4440,249 N.W. 788,State v. Rudy,1933-07-29,0.6272,1800,1703,NW/249/788.md
1989,169 N.W. 31,Jahner v. Kary,1918-09-20,0.6293,355,291,NW/169/31_2.md
4271,241 N.W. 789,Rusch v. Northern & Dakota Trust Co.,1932-03-25,0.6315,1625,1510,NW/241/789.md
3913,227 N.W. 220,State v. Anderson,1929-10-24,0.6352,1600,1498,NW/227/220.md
2835,194 N.W. 661,Coughlin v. Aetna Life Insurance,1923-06-23,0.6371,1884,1723,NW/194/661.md
1291,150 N.W. 876,County of Sargent v. Sweetman,1915-01-09,0.6376,1568,1565,NW/150/876.md
2952,198 N.W. 467,Farmers & Merchants State Bank v. H. E. Behrens Manufacturing Co.,1924-04-04,0.6381,1660,1471,NW/198/467.md
3113,203 N.W. 182,Engen v. Medberry Farmers Equity Elevator Co.,1925-03-11,0.6389,2311,2190,NW/203/182.md
3339,209 N.W. 204,Baird v. National Surety Co. of New York,1926-05-01,0.6415,6525,6497,NW/209/204.md
5065,299 N.W. 309,Moses v. Thorson,1941-07-14,0.6415,881,762,NW/299/309.md
4269,241 N.W. 75,Griffin v. Implement Dealers Mutual Fire Insurance,1932-01-22,0.6451,2874,2735,NW/241/75.md
107,103 N.W. 880,State v. Gerhart,1905-03-06,0.6451,337,278,NW/103/880.md
3626,217 N.W. 177,Anderson v. Reservation State Bank,1927-12-29,0.6456,1364,1237,NW/217/177.md
2821,193 N.W. 733,Calkins v. Stevens,1923-05-05,0.6465,685,550,NW/193/733.md
3126,203 N.W. 675,Farmers Elevator Co. v. Fristad,1925-04-24,0.6530,953,894,NW/203/675.md
1524,156 N.W. 559,Bergen Township v. Nelson County,1915-12-28,0.6565,2251,1976,NW/156/559.md
2368,178 N.W. 138,Farmers' State Bank v. Couture,1920-05-20,0.6568,1581,1309,NW/178/138.md
5852,88 N.W. 1023,Wilson v. Kartes,1902-01-10,0.6580,430,368,NW/88/1023_2.md
1124,144 N.W. 92,McCann v. Carlson,1913-11-15,0.6611,1387,1363,NW/144/92.md
1553,157 N.W. 305,Kurtz v. Paulson,1916-03-16,0.6619,1921,1861,NW/157/305.md
2931,197 N.W. 769,State ex rel. Kinzer v. Hall,1924-03-04,0.6625,1064,974,NW/197/769.md
740,130 N.W. 1134,Myren v. Larson,1911-04-13,0.6667,196,183,NW/130/1134.md
4459,250 N.W. 529,Equity Elevator & Trading Co. v. Farmers & Merchants Bank,1933-10-10,0.6731,2656,2356,NW/250/529.md
4410,249 N.W. 108,State Ex Rel. Coan v. Plaza Equity Elevator Co.,1933-05-13,0.6766,2448,2282,NW/249/108.md
958,137 N.W. 821,"Farley v. Lawton School District, No. 41",1912-09-21,0.6773,913,726,NW/137/821.md
3127,203 N.W. 676,In Re Riley,1925-03-31,0.6799,2866,2633,NW/203/676.md
4082,234 N.W. 392,Fischer v. Streeter Milling Co.,1930-08-13,0.6801,2477,2297,NW/234/392.md
1855,165 N.W. 500,Arendts v. Best,1917-11-16,0.6805,2274,2189,NW/165/500.md
801,132 N.W. 225,Cotton v. Horton,1911-05-27,0.6815,1745,1406,NW/132/225.md
1745,162 N.W. 901,First National Bank v. Kelly,1917-04-28,0.6845,1942,1720,NW/162/901.md
2359,177 N.W. 99,Keck v. Kavanaugh,1920-01-10,0.6847,4313,4039,NW/177/99.md
1541,157 N.W. 119,Freerks v. Nurnberg,1916-02-25,0.6849,1845,1824,NW/157/119.md
3704,219 N.W. 881,State v. Rother,1928-04-20,0.6877,764,697,NW/219/881.md
1962,168 N.W. 649,Benson v. Gressel,1918-07-25,0.6908,1082,822,NW/168/649.md
861,134 N.W. 1134,Balke-Reamer-Balke Co. v. Nicholi,1912-01-29,0.6923,245,233,NW/134/1134.md
4254,240 N.W. 920,Kittelson v. Collette,1932-02-25,0.6957,1499,1369,NW/240/920.md
419,117 N.W. 353,O'Keefe v. Omlie,1908-04-30,0.6988,1051,842,NW/117/353.md
